code,pref,cities,other_prefs,other_cities,exclude
011,北海道,札幌・江別,,,北海道
0166,北海道,旭川,,,北海道
0138,北海道,函館,,,北海道
0154,北海道,釧路,,,北海道
0134,北海道,小樽,,,北海道
0155,北海道,帯広,,,北海道
0144,北海道,苫小牧,,,北海道
0143,北海道,室蘭・登別,,,北海道
0157,北海道,北見,,,北海道
0126,北海道,岩見沢,,,北海道
0123,北海道,千歳,,,北海道
017,青森県,青森,,,青森県
0178,青森県,八戸,,,青森県
0172,青森県,弘前,,,青森県
0176,青森県,十和田,,,青森県
019,岩手県,盛岡,,,岩手県
0198,岩手県,花巻,,,岩手県
0193,岩手県,宮古・釜石,,,岩手県
0191,岩手県,一関,,,岩手県
0197,岩手県,奥州・北上,,,岩手県
022,宮城県,仙台・多賀城・塩釜,,,宮城県
0225,宮城県,石巻,,,宮城県
0226,宮城県,気仙沼,,,宮城県
0229,宮城県,大崎,,,宮城県
018,秋田県,秋田,,,秋田県
0186,秋田県,大館,,,秋田県
0185,秋田県,能代,,,秋田県
023,山形県,山形・天童,,,山形県
0234,山形県,酒田,,,山形県
0235,山形県,鶴岡,,,山形県
0238,山形県,米沢,,,山形県
024,福島県,福島・郡山,,,福島県
0246,福島県,いわき,,,福島県
0242,福島県,会津若松,,,福島県
0248,福島県,須賀川,,,福島県
029,茨城県,水戸・土浦・つくば・ひたちなか,,,茨城県
0294,茨城県,日立,,,茨城県
0299,茨城県,鹿嶋,,,茨城県
0297,茨城県,取手,,,茨城県
0296,茨城県,筑西,,,栃木県|茨城県
0280,茨城県,古河,,,埼玉県|栃木県|茨城県
028,栃木県,宇都宮,,,栃木県
0284,栃木県,足利,,,栃木県|群馬県
0285,栃木県,小山・真岡,,,栃木県
0289,栃木県,鹿沼,,,栃木県
0282,栃木県,栃木,,,栃木県
0283,栃木県,佐野,,,栃木県
027,群馬県,前橋・高崎,,,群馬県
0276,群馬県,太田・館林,,,埼玉県|群馬県
0277,群馬県,桐生,,,群馬県
0270,群馬県,伊勢崎,,,群馬県
0274,群馬県,藤岡,,,埼玉県|群馬県
048,埼玉県,さいたま・川口・越谷・草加・上尾・春日部・熊谷・新座 ほか,,,埼玉県
049,埼玉県,川越・坂戸・富士見・ふじみ野,,,埼玉県
04,千葉県,柏・流山・我孫子・野田,埼玉県,埼玉県:所沢／埼玉県:狭山／埼玉県:入間,千葉県|埼玉県
0493,埼玉県,東松山,,,埼玉県
042,東京都,八王子・町田・府中・調布・日野・小平・立川・東村山 ほか,埼玉県|神奈川県,埼玉県:飯能／神奈川県:相模原,埼玉県|東京都|神奈川県
0494,埼玉県,秩父,,,埼玉県
0480,埼玉県,久喜・加須,,,埼玉県
0495,埼玉県,本庄,,,埼玉県
043,千葉県,千葉・佐倉・四街道,,,千葉県
047,千葉県,船橋・松戸・市川・八千代・習志野・浦安・鎌ヶ谷,,,千葉県
0436,千葉県,市原,,,千葉県
0438,千葉県,木更津,,,千葉県
0479,千葉県,銚子,,,千葉県|茨城県
0439,千葉県,君津・富津,,,千葉県
0475,千葉県,茂原,,,千葉県
0476,千葉県,成田,,,千葉県
0470,千葉県,館山,,,千葉県
03,東京都,東京23区・狛江,,,東京都
0422,東京都,三鷹・武蔵野,,,東京都
0428,東京都,青梅,,,山梨県|東京都
045,神奈川県,横浜,,,神奈川県
044,神奈川県,川崎,,,東京都|神奈川県
046,神奈川県,横須賀・大和・厚木・座間・海老名・逗子,,,神奈川県
0466,神奈川県,藤沢,,,神奈川県
0463,神奈川県,平塚・秦野・伊勢原,,,神奈川県
0467,神奈川県,茅ヶ崎・鎌倉・綾瀬,,,神奈川県
0465,神奈川県,小田原,,,神奈川県|静岡県
025,新潟県,新潟・上越・糸魚川,,,新潟県
0258,新潟県,長岡,,,新潟県
0256,新潟県,三条,,,新潟県
0257,新潟県,柏崎,,,新潟県
0254,新潟県,新発田,,,新潟県
076,富山県,富山,石川県,石川県:金沢,富山県|石川県
0766,富山県,高岡・氷見,,,富山県
0761,石川県,小松・加賀,,,石川県
0776,福井県,福井,,,福井県
0778,福井県,越前・鯖江,,,福井県
0770,福井県,敦賀,,,福井県
055,静岡県,沼津・三島,山梨県,山梨県:甲府,山梨県|静岡県
0555,山梨県,富士吉田,,,山梨県
026,長野県,長野,,,長野県
0263,長野県,松本・塩尻,,,長野県
0268,長野県,上田,,,長野県
0265,長野県,飯田・伊那,,,長野県
0266,長野県,岡谷,,,長野県
0267,長野県,佐久,,,長野県
058,岐阜県,岐阜・各務原・羽島,,,岐阜県
0584,岐阜県,大垣,,,岐阜県
0572,岐阜県,多治見・土岐,,,岐阜県
0574,岐阜県,可児,,,岐阜県
0575,岐阜県,関,,,岐阜県
0577,岐阜県,高山,,,岐阜県
054,静岡県,静岡・藤枝・焼津,,,静岡県
053,静岡県,浜松,,,静岡県
0558,静岡県,伊豆,,,静岡県
0545,静岡県,富士,,,静岡県
0544,静岡県,富士宮,,,静岡県
0538,静岡県,磐田,,,静岡県
0550,静岡県,御殿場,,,静岡県
0547,静岡県,島田,,,静岡県
0557,静岡県,伊東,,,静岡県
0537,静岡県,掛川・御前崎,,,静岡県
052,愛知県,名古屋・東海,,,愛知県
0532,愛知県,豊橋,,,愛知県
0565,愛知県,豊田,,,愛知県
0564,愛知県,岡崎,,,愛知県
0586,愛知県,一宮,,,岐阜県|愛知県
0568,愛知県,春日井・小牧・犬山,,,愛知県
0566,愛知県,安城・刈谷・碧南,,,愛知県
0561,愛知県,瀬戸・尾張旭,,,愛知県
0533,愛知県,豊川,,,愛知県
0587,愛知県,稲沢,,,愛知県
0569,愛知県,半田,,,愛知県
0563,愛知県,西尾,,,愛知県
0567,愛知県,津島,,,三重県|愛知県
0562,愛知県,大府・豊明,,,愛知県
059,三重県,津・四日市・鈴鹿,,,三重県
0598,三重県,松阪,,,三重県
0596,三重県,伊勢,,,三重県
0594,三重県,桑名,,,三重県
0595,三重県,伊賀・名張,,,三重県
077,滋賀県,大津・草津,,,京都府|滋賀県
0749,滋賀県,彦根・長浜,,,滋賀県
0748,滋賀県,近江八幡・東近江,,,滋賀県
075,京都府,京都・長岡京・八幡,,,京都府|大阪府
0774,京都府,宇治・城陽,,,京都府
0773,京都府,舞鶴・福知山,,,京都府
0771,京都府,亀岡,,,京都府
06,大阪府,大阪・東大阪・豊中・吹田・守口,兵庫県,兵庫県:尼崎,兵庫県|大阪府
072,大阪府,堺・枚方・高槻・八尾・寝屋川・茨木・岸和田・門真 ほか,兵庫県,兵庫県:伊丹／兵庫県:川西,兵庫県|大阪府
0725,大阪府,和泉・泉大津,,,大阪府
0721,大阪府,富田林・河内長野,,,大阪府
078,兵庫県,神戸・明石,,,兵庫県
079,兵庫県,姫路・加古川・高砂,,,兵庫県
0798,兵庫県,西宮,,,兵庫県
0797,兵庫県,宝塚・芦屋,,,兵庫県
0794,兵庫県,三木,,,兵庫県
0742,奈良県,奈良,,,奈良県
0744,奈良県,橿原,,,奈良県
0743,奈良県,大和郡山・生駒,,,京都府|大阪府|奈良県
073,和歌山県,和歌山,,,和歌山県
0739,和歌山県,田辺,,,和歌山県
0857,鳥取県,鳥取,,,鳥取県
0859,鳥取県,米子,,,鳥取県
0852,島根県,松江,,,島根県
0853,島根県,出雲,,,島根県
086,岡山県,岡山・倉敷,,,岡山県
0868,岡山県,津山,,,岡山県
0863,岡山県,玉野,,,岡山県
0865,岡山県,笠岡,,,岡山県
082,広島県,広島・東広島,,,広島県
084,広島県,福山,,,広島県
0823,広島県,呉,,,広島県
0848,広島県,尾道・三原,,,広島県
083,山口県,山口・下関,,,山口県
0836,山口県,宇部,,,山口県
0835,山口県,防府,,,山口県
0827,山口県,岩国,,,山口県|広島県
0834,山口県,周南,,,山口県
0833,山口県,下松,,,山口県
088,徳島県,徳島・鳴門,高知県,高知県:高知,徳島県|高知県
0884,徳島県,阿南,,,徳島県
087,香川県,高松,,,香川県
0877,香川県,丸亀・坂出,,,香川県
089,愛媛県,松山,,,愛媛県
0897,愛媛県,新居浜・西条,,,愛媛県
0898,愛媛県,今治,,,愛媛県
0895,愛媛県,宇和島,,,愛媛県
092,福岡県,福岡・春日・大野城・筑紫野・太宰府,,,福岡県
093,福岡県,北九州,,,福岡県
0942,福岡県,久留米,佐賀県,佐賀県:鳥栖,佐賀県|福岡県
0944,福岡県,大牟田,,,熊本県|福岡県
0948,福岡県,飯塚,,,福岡県
0930,福岡県,行橋,,,福岡県
0949,福岡県,直方,,,福岡県
0940,福岡県,宗像,,,福岡県
0947,福岡県,田川,,,福岡県
0952,佐賀県,佐賀,,,佐賀県
0955,佐賀県,唐津・伊万里,,,佐賀県|長崎県
095,長崎県,長崎,,,長崎県
0956,長崎県,佐世保,,,長崎県
0957,長崎県,諫早・大村,,,長崎県
096,熊本県,熊本,,,熊本県
0965,熊本県,八代,,,熊本県
0968,熊本県,荒尾,,,熊本県
097,大分県,大分,,,大分県
0977,大分県,別府,,,大分県
0979,大分県,中津,,,大分県|福岡県
0973,大分県,日田,,,大分県
0972,大分県,佐伯,,,大分県
0985,宮崎県,宮崎,,,宮崎県
0982,宮崎県,延岡・日向,,,宮崎県
0986,宮崎県,都城,,,宮崎県|鹿児島県
099,鹿児島県,鹿児島,,,鹿児島県
0994,鹿児島県,鹿屋,,,鹿児島県
0996,鹿児島県,薩摩川内,,,鹿児島県
098,沖縄県,那覇・沖縄・浦添・宜野湾,,,沖縄県
