type,key,pref,trivia
city,札幌市,北海道,北海道の道庁所在地。雪まつりやビール、ラーメンで知られ、1972年に冬季五輪が開かれた。
city,函館市,北海道,夜景と五稜郭で有名な港町。幕末に開港した北海道有数の観光都市。
city,旭川市,北海道,北海道第2の都市。旭山動物園と厳しい寒さ、旭川ラーメンで知られる。
city,小樽市,北海道,運河とガラス工芸で人気の港町。かつて「北のウォール街」と呼ばれ栄えた。
city,仙台市,宮城県,東北最大の都市で「杜の都」と呼ばれる。伊達政宗の城下町で七夕まつりが有名。
city,盛岡市,岩手県,岩手県の県庁所在地。わんこそば・冷麺・じゃじゃ麺の「盛岡三大麺」で知られる。
city,宇都宮市,栃木県,「餃子の街」として有名。大谷石の産地で、近年はLRTが開業した。
city,日光市,栃木県,世界遺産・日光東照宮や中禅寺湖、華厳の滝で知られる観光都市。
city,前橋市,群馬県,群馬県の県庁所在地。利根川が流れ、詩人・萩原朔太郎の故郷として知られる。
city,水戸市,茨城県,徳川御三家・水戸藩の城下町。日本三名園の偕楽園と納豆で有名。
city,さいたま市,埼玉県,2001年に浦和・大宮・与野が合併して誕生。大宮は鉄道の要衝で鉄道博物館がある。
city,横浜市,神奈川県,日本最多の人口を持つ市。幕末に開港し、みなとみらいや中華街で知られる。
city,川崎市,神奈川県,東京と横浜に挟まれた工業都市。臨海部の京浜工業地帯と工場夜景で有名。
city,相模原市,神奈川県,神奈川県北部の政令指定都市。豊かな自然と、宇宙科学研究の拠点で知られる。
city,鎌倉市,神奈川県,鎌倉幕府が置かれた古都。大仏や鶴岡八幡宮など歴史遺産が多い。
city,横須賀市,神奈川県,東京湾の入口に位置する軍港都市。米海軍基地と海軍カレーで知られる。
city,金沢市,石川県,加賀百万石の城下町。兼六園や金箔、和菓子など伝統文化が色濃く残る。
city,甲府市,山梨県,山梨県の県庁所在地。武田信玄の本拠地で、ぶどう・ワインの産地として有名。
city,松本市,長野県,国宝・松本城で知られる城下町。北アルプス観光の玄関口でもある。
city,名古屋市,愛知県,中部地方最大の都市。名古屋城や、味噌カツ・ひつまぶしの食文化で知られる。
city,浜松市,静岡県,楽器とオートバイの世界的メーカーが本社を置く「ものづくりの街」。うなぎでも有名。
city,熱海市,静岡県,温泉と海で知られる人気の観光リゾート都市。
city,津市,三重県,三重県の県庁所在地。ひらがな一文字で書ける、日本一短い市名として知られる。
city,大津市,滋賀県,琵琶湖の南西岸に位置する県庁所在地。かつて大津京が置かれた。
city,神戸市,兵庫県,港町として発展した国際都市。六甲山や異人館、神戸牛が有名。
city,姫路市,兵庫県,世界遺産・国宝の姫路城「白鷺城」で知られる播磨地方の中心都市。
city,堺市,大阪府,世界遺産の巨大古墳群(百舌鳥古墳群)と、刃物などの伝統産業で知られる。
city,松江市,島根県,宍道湖のほとりの城下町。現存天守の松江城があり「水の都」と呼ばれる。
city,倉敷市,岡山県,白壁の美観地区と、日本初の西洋美術館・大原美術館で知られる。
city,下関市,山口県,本州最西端の市。ふぐ(ふく)の水揚げと関門海峡で有名。
city,北九州市,福岡県,1963年に5市が合併して誕生した工業都市。八幡製鉄所が日本の近代化を支えた。
city,高松市,香川県,香川県の県庁所在地で四国の玄関口。讃岐うどんと名園・栗林公園が有名。
city,松山市,愛媛県,四国最大の都市。道後温泉や松山城、夏目漱石『坊っちゃん』の舞台で知られる。
city,佐世保市,長崎県,軍港として発展した港町。ハウステンボスと佐世保バーガーで知られる。
city,別府市,大分県,源泉数・湧出量とも日本一の温泉地。「地獄めぐり」で知られる。
city,那覇市,沖縄県,沖縄県の県庁所在地。首里城や国際通りで知られる琉球文化の中心地。
station,東京,東京都,日本の鉄道網の中心駅。多数の新幹線が発着し、赤レンガの丸の内駅舎は国の重要文化財。
station,新宿,東京都,1日の乗降客数が世界最多としてギネスに認定された巨大ターミナル。
station,渋谷,東京都,スクランブル交差点とハチ公像で知られる若者文化の発信地。
station,池袋,東京都,東武・西武の百貨店が東西に並ぶ繁華街の駅。サンシャインシティが近い。
station,品川,東京都,東海道新幹線が停車。リニア中央新幹線の起点となる予定。
station,上野,東京都,上野公園や動物園・美術館の玄関口。東北方面の在来線が集まる。
station,新橋,東京都,1872年、日本初の鉄道が開業した地。SL広場で知られる。
station,秋葉原,東京都,世界的な電気街・サブカル文化の街。つくばエクスプレスの起点。
station,横浜,神奈川県,神奈川県最大のターミナル。JRや多くの私鉄が乗り入れる。
station,川崎,神奈川県,東京と横浜の間に位置する工業都市の中心駅。
station,大宮,埼玉県,多くの新幹線が停車する東日本の鉄道拠点。鉄道博物館が近い。
station,千葉,千葉県,千葉県の県庁所在地の中心駅。モノレールが発着する。
station,船橋,千葉県,JR・東武・京成が交わる、千葉県有数の乗降客数を誇る駅。
station,柏,千葉県,常磐線と東武野田線が交わる東葛地域の商業の中心。
station,名古屋,愛知県,中部地方最大のターミナル。高層の駅ビルが立ち並ぶ。
station,金山,愛知県,名古屋市のサブターミナル。JR・名鉄・地下鉄が集まる。
station,京都,京都府,烏丸口の大階段で有名な駅ビル。新幹線・近鉄も乗り入れる古都の玄関口。
station,大阪,大阪府,JR西日本最大のターミナル。梅田エリアの中心駅。
station,新大阪,大阪府,東海道・山陽新幹線が発着する大阪の新幹線玄関口。
station,難波,大阪府,南海電鉄のターミナルで、大阪・ミナミの中心。
station,天王寺,大阪府,大阪南部の主要駅。隣接する超高層ビル・あべのハルカスで知られる。
station,三ノ宮,兵庫県,神戸市の中心ターミナル。JR・阪急・阪神が集まる。
station,元町,兵庫県,神戸の旧居留地や中華街(南京町)に近い駅。
station,博多,福岡県,九州最大の駅。山陽・九州新幹線が乗り入れる九州の玄関口。
station,小倉,福岡県,北九州市の中心駅。新幹線停車駅でモノレールが発着する。
station,札幌,北海道,北海道の鉄道網の中心駅。地下街で大通方面とつながる。
station,仙台,宮城県,東北最大の駅。東北新幹線が停車し、牛タン店が集まる。
station,広島,広島県,山陽新幹線停車駅で、路面電車(広電)との結節点。
station,金沢,石川県,北陸新幹線の開業で発展。木製の鼓門が駅のシンボル。
station,高崎,群馬県,上越・北陸新幹線が分岐する交通の要衝。
station,宇都宮,栃木県,餃子の街・宇都宮の玄関口。新幹線が停車する。
station,水戸,茨城県,偕楽園や納豆で知られる水戸の中心駅。
station,長野,長野県,北陸新幹線停車駅。善光寺へのアクセス拠点。
station,新潟,新潟県,上越新幹線の終点。日本海側有数の都市の中心駅。
station,静岡,静岡県,静岡市の中心駅。東海道新幹線が停車する。
station,浜松,静岡県,楽器・オートバイ産業の街の中心駅。新幹線が停車する。
station,岡山,岡山県,山陽新幹線と四国方面(瀬戸大橋線)が分岐する西日本の要衝。
station,熊本,熊本県,九州新幹線が停車。市電との結節点で熊本城に近い。
station,鹿児島中央,鹿児島県,九州新幹線の終点。観覧車のある駅ビルが目印。
station,長崎,長崎県,2022年に西九州新幹線が開業した長崎の玄関口。
station,大分,大分県,別府温泉などへの玄関口となる大分県の中心駅。
station,宮崎,宮崎県,宮崎県の中心駅。日南線や空港線が発着する。
station,高松,香川県,四国の玄関口。瀬戸大橋線で本州とつながる。讃岐うどんで有名。
station,松山,愛媛県,四国最大の都市の中心駅。道後温泉や坊っちゃん列車で知られる。
station,徳島,徳島県,徳島県の中心駅。阿波踊りの街として有名。
station,高知,高知県,高知県の中心駅。坂本龍馬ゆかりの地で、路面電車が走る。
station,奈良,奈良県,東大寺や奈良公園の鹿で知られる古都の玄関口。
station,和歌山,和歌山県,ねこ駅長で話題の和歌山電鐵も発着する県の中心駅。
station,姫路,兵庫県,世界遺産・姫路城の最寄り駅。山陽新幹線が停車する。
station,横須賀,神奈川県,米海軍基地のある軍港都市の駅。海軍カレーで知られる。
station,鎌倉,神奈川県,鎌倉大仏や鶴岡八幡宮で有名な古都。江ノ電が発着する。
station,小田原,神奈川県,箱根観光の玄関口。小田原城で知られる。
station,藤沢,神奈川県,江の島観光の拠点。江ノ電が発着する。
station,町田,東京都,東京都南端の商業都市の駅。神奈川県に深く食い込む立地で知られる。
station,立川,東京都,多摩地域の中心都市の駅。多摩モノレールとの結節点。
station,吉祥寺,東京都,「住みたい街」で人気の街。井の頭公園が近い。
station,北千住,東京都,JR・東武・地下鉄・つくばEXが集まる足立区の巨大ターミナル。
station,日暮里,東京都,成田スカイアクセスで成田空港と直結。谷中など下町に近い。
